geneID	SRR1569274	SRR1569385	SRR1569432	SRR1569463	SRR1569464	SRR1569465	SRR1569467	SRR1569468	SRR1569469	SRR1569471	SRR1569472	SRR1569473	SRR1569474	SRR1569475	SRR1569477
phavu.G19833.gnm1.ann1.Phvul.001G000100	2.45	0.7	1.8	2.33	1.56	0.76	1.41	1.07	1.75	1.53	1.97	0.6	2.77	1.11	1.03
phavu.G19833.gnm1.ann1.Phvul.001G000200	0	0.08	0	0	0	0	0.02	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G000300	15.04	3.1	20.08	30	23.25	12.78	17.11	9.08	14.39	20.64	13.41	11.71	24.27	13.4	19.6
phavu.G19833.gnm1.ann1.Phvul.001G000400	9.41	10.57	4.88	7.78	6.84	2.9	6.67	3.11	5.89	3.31	2.31	1.63	3.37	1.52	3.53
phavu.G19833.gnm1.ann1.Phvul.001G000500	44.13	3.17	48.82	190.3	121.46	103.61	34.37	1.99	1.46	201.04	35.35	21.47	143.2	34.12	77.04
phavu.G19833.gnm1.ann1.Phvul.001G000600	2.42	0.27	1.14	6.05	2.2	3.26	1.36	0.97	0.12	4.9	3.45	1.99	3.37	0.98	1.78
phavu.G19833.gnm1.ann1.Phvul.001G000700	20.44	8.69	21.98	29.32	32.75	14.14	22.14	11.14	23.92	57.49	47.02	33.72	37.47	22.49	41.74
phavu.G19833.gnm1.ann1.Phvul.001G000800	0.13	1.5	3.04	0.09	0.53	0.4	0.67	4.04	8.08	0.16	0.27	0.88	0.1	0.57	0.71
phavu.G19833.gnm1.ann1.Phvul.001G000900	0.08	0.07	0	0	0.8	0	0.08	0	0	0	0.12	0	0.09	0	0
phavu.G19833.gnm1.ann1.Phvul.001G001000	3.09	1.58	30.4	14.4	24.34	4.37	26.7	13.14	34.09	7.54	5.5	5.37	53.45	58.65	89.91
phavu.G19833.gnm1.ann1.Phvul.001G001100	14.94	1.71	16.36	21.51	16.86	2.73	10.65	3.35	6.4	5.05	2.47	3.27	15.18	18.26	8.95
phavu.G19833.gnm1.ann1.Phvul.001G001200	2.39	1.67	1.86	3.51	3.88	3.86	2.89	2.12	2.48	4.66	3.64	1.53	3.4	1.87	2.88
phavu.G19833.gnm1.ann1.Phvul.001G001300	60.46	8.68	118.09	163.53	95.6	23.35	40.44	63.22	127.17	70.44	23.95	23.64	49.64	269.22	102.81
phavu.G19833.gnm1.ann1.Phvul.001G001400	14.28	6.89	22.84	26.97	22.52	12.5	20.43	15.35	27.46	26.52	23.15	19.52	32.35	19.79	26.89
phavu.G19833.gnm1.ann1.Phvul.001G001500	18.56	1.14	63.48	29.38	33.79	18.89	75.5	26.05	25.43	62.7	17.48	14.19	231.11	85.48	104.67
phavu.G19833.gnm1.ann1.Phvul.001G001600	3.09	0.89	11.1	18.33	15.24	9.67	8.33	6.77	7.08	18.6	17.54	11.1	15.93	4.74	12.02
phavu.G19833.gnm1.ann1.Phvul.001G001700	138.95	81.48	52.9	33.85	21.27	4.51	8.26	14.84	157.44	16.97	4.34	6.48	43.19	24.72	63.37
phavu.G19833.gnm1.ann1.Phvul.001G001800	0	0.17	0.38	0.4	0.96	0	0.2	1.45	0.28	0.44	0	0	0.62	0.6	0.4
phavu.G19833.gnm1.ann1.Phvul.001G001900	9.03	24.81	96.75	7.15	19.31	1.7	5.72	9.07	44.41	10.72	5.25	4.64	7.15	8.66	6.74
phavu.G19833.gnm1.ann1.Phvul.001G002000	219.14	13.87	35.18	188.01	157.51	29.65	71.76	10.7	27.92	53.76	10.56	14.09	149.16	74.03	17.79
phavu.G19833.gnm1.ann1.Phvul.001G002100	903.51	678.44	139.63	139.58	209.58	124.39	305.15	63.36	179.2	29.57	5.28	6.51	1.32	0.31	0.24
phavu.G19833.gnm1.ann1.Phvul.001G002200	299.46	1.33	164.37	311.4	19.2	9.33	120.45	24.06	143.95	11.7	4.92	2.58	309.45	428.81	38.73
phavu.G19833.gnm1.ann1.Phvul.001G002300	2.27	0.2	1.25	3.64	2.99	1.37	2.47	0.89	3.1	3.67	2.8	1.94	2.25	1.14	1.21
phavu.G19833.gnm1.ann1.Phvul.001G002400	13.39	1.97	14.29	26.99	14.65	12.79	10.44	6.35	8.44	23.24	23.63	9.34	28.97	9.12	18.15
phavu.G19833.gnm1.ann1.Phvul.001G002500	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G002600	2.65	0.98	0.88	1	2.01	0.95	2.47	1.83	2.25	1.29	1.32	1.34	0.43	0.93	1
phavu.G19833.gnm1.ann1.Phvul.001G002700	5.18	2.52	3.12	4.51	4.22	3.67	4.57	3.12	3.55	4.08	3.31	2.79	3.07	1.93	2.92
phavu.G19833.gnm1.ann1.Phvul.001G002800	1.34	0.56	3.53	1.11	2.48	1.5	7.09	1.89	6.17	2.73	0.77	0.85	0.41	2.54	1.75
phavu.G19833.gnm1.ann1.Phvul.001G002900	0.58	0.16	1.55	0.27	0.43	0.22	0.27	0	0.22	0.47	0.06	0.05	0.79	1.59	1.19
phavu.G19833.gnm1.ann1.Phvul.001G003000	9.97	3.25	8.47	17.86	16.94	6.08	12.93	9.23	15.32	34.26	35.34	34.7	21.99	8.66	20.41
phavu.G19833.gnm1.ann1.Phvul.001G003100	19.77	6.34	11.7	14.4	12.06	12.58	13.59	7.22	5.12	18.51	16.01	9.85	13.99	4.55	12.17
phavu.G19833.gnm1.ann1.Phvul.001G003200	251.9	28.63	205.31	300.21	178.8	182.17	164.82	144.12	125.04	303.28	480.02	216.55	563.76	176.7	325.87
phavu.G19833.gnm1.ann1.Phvul.001G003300	8.48	2.5	7.13	2.98	3.97	1.46	6.14	49.64	36.46	1.21	1.24	0.92	1.06	7.06	7.4
phavu.G19833.gnm1.ann1.Phvul.001G003400	3.18	3.36	5.05	4.32	1.99	0.87	76.82	286.2	340.59	30.75	36.49	25.92	2.23	11.52	19.74
phavu.G19833.gnm1.ann1.Phvul.001G003500	268.15	60.46	185.13	424.28	279.8	178.82	188.18	67.21	106.88	273.38	416.48	278.87	555.85	145.36	278.48
phavu.G19833.gnm1.ann1.Phvul.001G003600	17.64	6.48	21.51	27.37	22.98	10.85	23.41	10.87	15.46	32.5	22.83	19	35.19	19.22	27.97
phavu.G19833.gnm1.ann1.Phvul.001G003700	3.49	0.99	0.34	5.58	2.14	0.14	0.31	0.09	0	1.13	0.52	0.61	129.37	22.15	135.48
phavu.G19833.gnm1.ann1.Phvul.001G003800	2.4	1.54	0.12	0.67	0.49	0	0.37	0	0	0.07	0.18	0.16	3.15	41.4	41.32
phavu.G19833.gnm1.ann1.Phvul.001G003900	0.96	0	0.64	0.15	0.35	0	0.15	2.68	4.05	0.08	0.53	0.2	0.3	0.96	1.39
phavu.G19833.gnm1.ann1.Phvul.001G004000	74.25	42.34	7.51	105.36	85.32	41.68	67.75	2.3	5.98	835.76	92.95	43.18	220.75	100.07	116.85
phavu.G19833.gnm1.ann1.Phvul.001G004100	11.07	2.33	13.84	23.24	17.1	10.76	13.45	6.94	11.25	25.23	15.76	12.52	20.95	13.81	13.26
phavu.G19833.gnm1.ann1.Phvul.001G004200	0.09	0	0	0.05	0	0	0	0	0	4.47	0.14	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G004300	7.33	0	0.05	14.56	0.54	0.14	0	0	0	0	0	0	0.05	0.1	0
phavu.G19833.gnm1.ann1.Phvul.001G004400	0.52	0.22	0.11	2.48	1.49	0.42	20.04	1.49	1.31	0.21	0.91	0.49	0.04	0.07	0.48
phavu.G19833.gnm1.ann1.Phvul.001G004500	0.36	1.46	3.02	3.82	1.93	0.18	3.99	4.02	6.52	0	0	0.04	0.1	0.03	0
phavu.G19833.gnm1.ann1.Phvul.001G004600	9.42	8.61	2.66	11.86	7.85	1.8	1.72	2.86	2.04	0	0.03	0.05	0.35	0.06	0.28
phavu.G19833.gnm1.ann1.Phvul.001G004700	51.36	10.4	44.39	69.21	35.76	18.18	39.64	28.85	61.67	35.31	36.95	32.22	41.12	49.11	45.59
phavu.G19833.gnm1.ann1.Phvul.001G004800	47.62	13.17	85.44	74.46	97.53	38.28	129.63	42.37	47.08	107.73	79.46	137.76	157.07	46.35	119.89
phavu.G19833.gnm1.ann1.Phvul.001G004900	3.24	1.22	3.46	1.7	2.52	0.25	0.27	1.07	1.27	0.22	0.69	0.46	2.18	13.1	18.74
phavu.G19833.gnm1.ann1.Phvul.001G005000	65.67	3.36	94.48	62.79	21.18	11.77	42.6	8.94	33.9	8.49	4.28	3.23	49.28	100.54	31.5
phavu.G19833.gnm1.ann1.Phvul.001G005100	1.48	0.47	4.87	1.28	1.89	0.14	0.78	0.93	0.43	0.4	0.29	0.2	8.05	3.81	4.69
phavu.G19833.gnm1.ann1.Phvul.001G005200	109.37	15.68	202.75	268.01	187.55	152.77	141.95	66.09	71.75	284.97	314.44	412.69	439.42	132.7	219.85
phavu.G19833.gnm1.ann1.Phvul.001G005300	6.1	0.91	25.83	2.72	5.83	1.54	8.69	40.7	79.44	10.03	8.36	19.33	14.76	15.73	18.48
phavu.G19833.gnm1.ann1.Phvul.001G005400	9.95	2.56	7.62	9.35	6.77	3.45	6.86	5.27	6.84	10.79	6.09	4.56	8.11	11.76	8.91
phavu.G19833.gnm1.ann1.Phvul.001G005500	23.01	13.75	17.98	13.65	9.76	2.97	7.5	5.41	5.46	0.18	0.17	0.09	0.24	1.53	1.75
phavu.G19833.gnm1.ann1.Phvul.001G005600	8.99	3.62	12.46	8.28	9.03	2.78	7.96	10.17	16.52	10.29	8.43	7.95	8.09	16.19	12.54
phavu.G19833.gnm1.ann1.Phvul.001G005700	10.19	3.11	9.02	12.46	9.95	7.54	8	3.12	5.6	12.89	12	7.48	11.96	7.44	10.5
phavu.G19833.gnm1.ann1.Phvul.001G005800	0.3	1.77	0.47	1.62	5.74	2.75	2.81	0.89	4.6	0.36	0	0	11.36	2.78	9.72
phavu.G19833.gnm1.ann1.Phvul.001G005900	4.12	7.16	1.33	7.45	7.99	2.78	12.33	2.11	1.06	0.83	0.92	0.9	0.06	0.16	0.79
phavu.G19833.gnm1.ann1.Phvul.001G006000	9.27	3.34	14.4	13.7	12.72	6.42	12.31	8.76	12.31	13.29	8.67	9.08	24.64	18.02	20.14
phavu.G19833.gnm1.ann1.Phvul.001G006100	0	0	0	0	0	0	0.19	0	0	0	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G006200	0	0	0	0	0.16	0	0	0	0	0.11	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G006300	75.06	15.83	16.92	37.24	3.59	0.74	2.14	9.81	47.05	76.48	455.55	88.61	42.18	363.76	50.45
phavu.G19833.gnm1.ann1.Phvul.001G006400	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0.22
phavu.G19833.gnm1.ann1.Phvul.001G006500	2.1	0	0.86	1.12	0	0.63	0	0	2.23	2.98	9.37	3.58	0.69	5.2	1.34
phavu.G19833.gnm1.ann1.Phvul.001G006600	0.21	0	0	0	0.35	0	0.22	0	0.31	0.73	1.91	0.29	0.23	3.11	0.44
phavu.G19833.gnm1.ann1.Phvul.001G006700	4.38	1.53	7.81	2.06	2.02	0.97	0.35	0.42	0.32	0.89	3.3	1.22	0.47	2.19	2.74
phavu.G19833.gnm1.ann1.Phvul.001G006800	9.84	6.19	2.92	5.1	3.3	5.74	6.9	4.62	7.17	15.71	3.45	2.09	1.76	1.63	1.64
phavu.G19833.gnm1.ann1.Phvul.001G006900	13.82	4.06	18.76	12.02	11.93	9.33	12.55	6.46	10.38	19.63	16.84	8.53	17.89	23.27	23.39
phavu.G19833.gnm1.ann1.Phvul.001G007000	6.72	2.57	19.69	22.17	27.86	8.5	23.1	10.44	10.83	21.29	8.84	11.45	21.24	11.63	18.52
phavu.G19833.gnm1.ann1.Phvul.001G007100	12.58	5.95	23.44	19.18	40.19	14	23.58	14.31	31.42	22.71	7.88	4.46	22.95	18.93	48.91
phavu.G19833.gnm1.ann1.Phvul.001G007200	7.51	1.03	6.5	12.02	6.74	8.32	5.99	2.65	5.72	10.32	6.92	4.72	13.61	3.5	8.96
phavu.G19833.gnm1.ann1.Phvul.001G007300	18.29	7.02	44.11	36.83	22.35	16.27	59.35	11.32	19.11	30.66	22.33	26.88	45.59	16.05	21.6
phavu.G19833.gnm1.ann1.Phvul.001G007400	6.02	1.41	4.46	9.64	5.94	7.55	4.18	1.57	3.32	11.44	8.28	4.1	10.23	3.48	7.95
phavu.G19833.gnm1.ann1.Phvul.001G007500	60.74	62.49	7.51	9.75	13.7	10.95	17.73	4.14	6.34	4.75	4.75	2.41	1.06	0.68	0.39
phavu.G19833.gnm1.ann1.Phvul.001G007600	7.42	2.62	10.75	11.89	11.92	5.91	16.76	12.09	12.28	13.34	17.75	16.06	12.48	11.1	9.33
phavu.G19833.gnm1.ann1.Phvul.001G007700	208.82	48.11	180.25	261.07	176.97	107.28	166.77	100.66	128.31	237.83	385.06	211.38	411.41	147.95	279.73
phavu.G19833.gnm1.ann1.Phvul.001G007800	0.05	0.07	1.47	0.98	0.42	0	0.03	0.05	0	0.1	0.08	0	1.28	20.77	24.15
phavu.G19833.gnm1.ann1.Phvul.001G007900	10.15	3.33	10.4	13.72	10.8	6.42	8.07	7.99	12	10.64	8.01	6.96	14.68	12.44	15.12
phavu.G19833.gnm1.ann1.Phvul.001G008000	74.08	8.43	64.07	34.2	26.49	14.55	26.87	12.94	8.06	9.6	13.18	15.54	50.66	82.06	38.29
phavu.G19833.gnm1.ann1.Phvul.001G008100	1.74	0.45	1.79	10.09	21.78	0	4.33	0	1.13	2.35	44.77	39.63	50.35	44.99	68.44
phavu.G19833.gnm1.ann1.Phvul.001G008200	8.53	0.71	12.18	46.62	15.47	4.93	2.48	12.46	12.31	36.56	21.87	12.9	3.54	4.97	5.06
phavu.G19833.gnm1.ann1.Phvul.001G008300	0	0	0	0.13	0.43	0	0	0	0	0.15	0	0	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G008400	16.9	20.69	42.98	37.07	45.65	27.32	90.39	30.56	35.28	77.25	55.76	50.8	122.86	25.95	108.31
phavu.G19833.gnm1.ann1.Phvul.001G008500	50.85	5.7	31.17	75.56	35.22	33.93	28.2	9.46	15.03	62.85	31.88	19.65	156.16	38.7	69.76
phavu.G19833.gnm1.ann1.Phvul.001G008600	44.95	18.89	53.01	81.87	71.69	32.84	50.05	37.14	52.76	77.47	73.96	51.57	52.73	53.7	72.29
phavu.G19833.gnm1.ann1.Phvul.001G008700	0	0	0	0.27	0	0	0	0	0	0	7.92	2.2	0	0	0
phavu.G19833.gnm1.ann1.Phvul.001G008800	0	0	0	0	0	0	0	0	0	1.24	12.05	5.51	0.09	0	0
phavu.G19833.gnm1.ann1.Phvul.001G008900	5.6	6.58	3.78	9.98	16.16	6.4	22.73	23.07	78.01	1.69	1.34	0.8	6.51	15.63	11.96
phavu.G19833.gnm1.ann1.Phvul.001G009000	75.09	11.63	111.98	75.81	38.81	18.72	35.97	27.92	64.44	63.27	50.43	47.64	66.85	112.58	67.88
phavu.G19833.gnm1.ann1.Phvul.001G009100	322.55	67.74	345.45	401.94	218	113.48	229.91	161.22	247.07	455.34	293.69	206.22	678.88	648.22	307.61
phavu.G19833.gnm1.ann1.Phvul.001G009200	3.1	10.74	0.28	1.44	14.6	1.02	8.45	0.53	0.41	88.46	43.6	69.1	2.82	1.23	5.76
phavu.G19833.gnm1.ann1.Phvul.001G009300	11.11	6.59	11.65	21.99	16.59	12.42	13.42	15.93	11.98	14.04	8.43	6.94	18.46	15.72	19.65
phavu.G19833.gnm1.ann1.Phvul.001G009400	9.42	4.08	9.41	5.88	4.55	1.47	3.88	3.97	8.71	3.7	5.38	5.11	9.98	19.49	11.23
phavu.G19833.gnm1.ann1.Phvul.001G009500	18.03	7.47	7.93	16.33	13.51	6.56	9.9	3.8	5.94	13.23	17.3	14.22	6.9	5.03	6.48
phavu.G19833.gnm1.ann1.Phvul.001G009600	3.1	7.41	3.65	6.78	10.66	2.23	2.9	0.29	0.22	2.62	1.59	0.42	0.81	0.96	3.15
phavu.G19833.gnm1.ann1.Phvul.001G009700	9.04	5.81	20.67	14.17	4.75	5.22	5.42	14.54	18.21	2.45	2.55	1.28	34.76	18.24	55.3
phavu.G19833.gnm1.ann1.Phvul.001G009800	3.76	1.34	2.03	9.9	13.56	3.98	0.39	0.12	0.27	29.75	4.88	4.17	0.46	1.48	3.45
phavu.G19833.gnm1.ann1.Phvul.001G009900	204.3	304.86	361.35	363.9	495.77	124.05	363.4	640.33	1628.88	516.9	277.41	301.5	210.53	372.84	2001.78
phavu.G19833.gnm1.ann1.Phvul.001G010000	3.41	0.76	3	7.44	4.88	2.79	3.64	2.49	2.8	12.26	6.78	6.47	5.87	2.83	6.14
phavu.G19833.gnm1.ann1.Phvul.001G010100	15.49	12.01	192.67	52	22.15	33.49	20.43	8.11	19.77	17.94	8.01	6.51	48.19	59.44	104.05
phavu.G19833.gnm1.ann1.Phvul.001G010200	26.07	10.8	35.92	38.98	72.33	8.61	18.7	14.73	39.98	21.34	6.8	10.06	3.24	10.57	37.17
phavu.G19833.gnm1.ann1.Phvul.001G010300	0	0.05	0	0	0	0.16	0	0	0	0	0	0	0	0	0.05
phavu.G19833.gnm1.ann1.Phvul.001G010400	0.24	0	0.08	0.85	0.69	0.24	0.35	0	0.24	8.2	199.96	261.54	0.53	2.66	3.07
phavu.G19833.gnm1.ann1.Phvul.001G010500	14.47	3.38	6.58	8.27	7.56	4.91	4.58	2.67	4.71	7.03	4.64	3.09	3.72	1.96	4.24
phavu.G19833.gnm1.ann1.Phvul.001G010600	0.98	0.57	0.13	0.18	2.41	0.39	0.32	0.08	0.06	0.35	0.13	0.12	0	0.05	0
phavu.G19833.gnm1.ann1.Phvul.001G010700	116.49	113.2	28.01	37.38	60.48	9.91	33.44	4.93	38.14	3.1	0	0.8	0.62	0.1	0.1
phavu.G19833.gnm1.ann1.Phvul.001G010800	182.52	110.78	336.73	395.79	362.56	145.92	268.81	166.31	254.06	490.69	563.61	369.65	63.83	68.62	93.38
phavu.G19833.gnm1.ann1.Phvul.001G010900	28.24	25.74	69.39	23.63	19.74	22.98	81.56	62.98	45.84	207.32	100.99	76.68	74.92	75.56	165.27
phavu.G19833.gnm1.ann1.Phvul.001G011000	6.12	4	12.32	8.75	8.85	3.89	8.21	6.66	13.29	12.11	7.02	4.86	1.08	10.54	19.85
phavu.G19833.gnm1.ann1.Phvul.001G011100	5.63	2.69	8.27	6.22	4.51	2.09	2.89	3.44	7.92	6.4	3.78	2.17	0.92	6.68	11.89
phavu.G19833.gnm1.ann1.Phvul.001G011200	11.33	11.13	5.06	5.09	5.79	2.77	4.32	3.94	7.58	3.18	2.37	1.42	2	3.22	4.91
phavu.G19833.gnm1.ann1.Phvul.001G011300	0.2	0	0	0.07	24.56	0	0	0	0.2	0.62	0.3	0.19	0.36	0.57	0.49
phavu.G19833.gnm1.ann1.Phvul.001G011400	9.84	2.63	10.09	11.41	17.36	4.63	7.76	4.2	7.53	15.52	9.88	6.37	28.09	17.13	17.77
phavu.G19833.gnm1.ann1.Phvul.001G011500	13.03	10.25	2.18	11.48	13.11	1.84	7.18	3.38	2.5	4.77	4.61	2.96	0	0.05	0.05
phavu.G19833.gnm1.ann1.Phvul.001G011600	4.08	2.48	5.87	7.1	7.39	2.21	5.95	4.34	6.42	5.01	3.52	2.65	5.21	4.21	6.22
phavu.G19833.gnm1.ann1.Phvul.001G011700	35.83	3.1	26.57	27.42	17.66	6.37	12.94	8.42	24.42	16.66	9.89	8	39.86	22.17	23.26
phavu.G19833.gnm1.ann1.Phvul.001G011800	15.42	5.31	13.92	56.05	204.45	48.84	234.1	35.18	29.14	178.8	131.99	104.79	41.31	17.14	146.23
phavu.G19833.gnm1.ann1.Phvul.001G011900	5.32	3.97	9.13	35.07	82.37	26.85	133.44	17.3	8.07	68.2	71.07	39.17	18.57	8.61	75.79
phavu.G19833.gnm1.ann1.Phvul.001G012000	28.94	11.35	10.33	12.65	31.1	4.15	18.89	11.15	35.26	7.97	3.66	5.88	7.03	16.52	15.31
phavu.G19833.gnm1.ann1.Phvul.001G012100	12.33	12.27	21.6	12.1	21.45	7.66	21.28	27.75	39.95	8.22	8.55	9.18	12.33	74.74	55.6
phavu.G19833.gnm1.ann1.Phvul.001G012200	3.64	3.92	13.52	6.91	9.06	6.16	8.91	5.26	8.06	6.14	10.78	8.63	4.38	4.03	5.93
phavu.G19833.gnm1.ann1.Phvul.001G012300	7.15	14.8	0.59	3.56	17.64	5.48	4.67	0.67	1.92	0.41	0	0.08	0	0.06	0.06
phavu.G19833.gnm1.ann1.Phvul.001G012400	1027.34	720.3	108.98	225.38	228.17	162.99	262.53	46.07	88.47	100	61.88	41.36	55.86	30.17	40.97
phavu.G19833.gnm1.ann1.Phvul.001G012500	0	0	0.05	0.02	8.2	0.07	0.08	0	0	0.22	0.14	0	0.03	0	0
phavu.G19833.gnm1.ann1.Phvul.001G012600	6.72	1.19	7.34	13.95	5.52	1.4	2.15	0.66	0.19	1.13	0.95	0.18	0	0.13	0.2
phavu.G19833.gnm1.ann1.Phvul.001G012700	0.39	1.87	0.12	9.13	7.48	8.74	1.27	0.06	0.36	914.02	353.35	139.11	0.13	0.16	0.8
phavu.G19833.gnm1.ann1.Phvul.001G012800	1.28	0.7	2.79	7.23	20.38	3.68	0.82	0.12	0.61	411.82	69.5	31.19	0.03	0.13	0
phavu.G19833.gnm1.ann1.Phvul.001G012900	19.3	4.72	37.48	59.84	29.82	14.35	13.62	13.84	17.22	36	10.91	5.27	25.56	35.49	41.03
phavu.G19833.gnm1.ann1.Phvul.001G013000	44.04	18.53	53.58	62.5	55.56	26.92	55.43	27.58	43.69	73.6	64.19	52.77	113.67	68.08	98.71
